customer_id,gender,age,city,signup_date,order_id,order_date,restaurant_name,dish_name,category,quantity,price,payment_method,order_frequency,last_order_date,loyalty_points,churned,rating,rating_date,delivery_status,total_value,customer_tenure_days
c2827,male,teenager,multan,2025-03-05,o6827,2023-08-26,pizza hut,sandwich,italian,3,192.88,wallet,26,2025-06-03,18,active,3,2025-01-13,cancelled,578.64,90
c3338,female,senior,lahore,2023-12-04,o7338,2023-08-26,mcdonald's,burger,chinese,2,1471.81,wallet,25,2024-12-27,444,active,3,2025-06-14,delivered,2943.62,389
c1614,other,adult,lahore,2023-12-31,o5614,2023-08-26,subway,pizza,italian,1,956.03,card,39,2025-04-19,167,inactive,5,2025-01-04,delivered,956.03,475
c4382,male,senior,multan,2025-01-20,o8382,2023-08-27,pizza hut,pizza,dessert,3,222.14,wallet,4,2025-03-25,148,inactive,2,2025-01-01,delayed,666.42,64
c1827,other,adult,lahore,2024-05-24,o5827,2023-08-27,burger king,pasta,italian,2,522.0,cash,12,2025-03-30,246,inactive,3,2024-09-20,delayed,1044.0,310
c5009,male,teenager,islamabad,2024-03-25,o9009,2023-08-27,pizza hut,pizza,italian,3,795.3,card,15,2025-06-02,179,inactive,4,2025-01-13,delayed,2385.8999999999996,434
c3152,other,teenager,multan,2024-02-26,o7152,2023-08-27,subway,burger,chinese,3,768.49,wallet,40,2024-12-23,495,inactive,5,2025-01-06,delivered,2305.4700000000003,301
c5046,other,teenager,islamabad,2024-08-15,o9046,2023-08-27,kfc,fries,chinese,1,196.28,card,22,2025-08-17,378,inactive,4,2025-03-04,delivered,196.28,367
c3588,other,teenager,lahore,2024-01-07,o7588,2023-08-27,subway,burger,continental,1,364.91,card,1,2025-05-06,98,active,5,2025-08-18,delayed,364.91,485
c3247,female,senior,multan,2023-11-27,o7247,2023-08-27,mcdonald's,sandwich,italian,5,275.53,cash,7,2024-12-06,138,active,2,2025-06-22,delivered,1377.6499999999999,375
c2454,other,teenager,karachi,2023-12-04,o6454,2023-08-27,kfc,pizza,italian,1,249.9,cash,20,2025-03-22,70,inactive,1,2025-07-20,delayed,249.9,474
c4046,other,adult,karachi,2024-11-10,o8046,2023-08-27,subway,sandwich,continental,4,1226.08,cash,32,2025-02-06,372,active,4,2025-06-18,delivered,4904.32,88
c6194,female,adult,lahore,2023-10-09,o10194,2023-08-28,subway,fries,continental,3,1120.65,card,46,2024-12-02,453,active,4,2025-08-19,cancelled,3361.9500000000003,420
c6804,female,adult,peshawar,2025-01-16,o10804,2023-08-28,burger king,burger,continental,3,931.02,wallet,30,2025-07-10,211,inactive,3,2025-03-18,delayed,2793.06,175
c1490,other,senior,lahore,2024-12-02,o5490,2023-08-28,pizza hut,pizza,fast food,2,1431.45,wallet,15,2025-05-04,190,inactive,4,2024-10-08,cancelled,2862.9,153
c4203,male,adult,multan,2024-04-17,o8203,2023-08-28,kfc,pizza,italian,5,167.62,card,13,2024-09-08,388,active,4,2024-11-07,delivered,838.1,144
c6818,male,adult,islamabad,2024-10-22,o10818,2023-08-28,subway,pasta,chinese,2,118.82,card,12,2025-05-10,87,active,1,2024-09-14,cancelled,237.64,200
c2583,female,adult,karachi,2024-08-10,o6583,2023-08-29,pizza hut,pasta,fast food,1,492.46,cash,10,2025-01-16,383,active,1,2024-09-09,delivered,492.46,159
c1891,male,teenager,multan,2023-11-28,o5891,2023-08-29,pizza hut,pasta,chinese,5,1275.96,card,28,2024-11-09,312,inactive,2,2024-12-29,delivered,6379.8,347
c1972,male,teenager,multan,2024-06-03,o5972,2023-08-29,mcdonald's,sandwich,chinese,1,1462.99,wallet,36,2025-03-26,316,inactive,4,2024-11-30,cancelled,1462.99,296
c5179,male,adult,multan,2023-09-03,o9179,2023-08-29,mcdonald's,pasta,fast food,1,1033.71,card,47,2024-08-30,4,active,2,2024-12-24,delivered,1033.71,362
c3147,female,adult,islamabad,2024-10-30,o7147,2023-08-30,burger king,pizza,continental,4,299.44,cash,27,2025-02-06,480,inactive,3,2024-12-01,delivered,1197.76,99
c3256,other,senior,islamabad,2024-07-06,o7256,2023-08-30,pizza hut,pasta,dessert,3,1310.72,wallet,41,2025-08-07,47,active,3,2024-11-20,cancelled,3932.16,397
c5922,other,adult,islamabad,2024-08-03,o9922,2023-08-30,pizza hut,fries,dessert,3,622.55,cash,32,2024-08-26,92,active,3,2025-05-15,delayed,1867.6499999999999,23
c3797,other,teenager,islamabad,2024-05-08,o7797,2023-08-30,burger king,burger,chinese,3,266.63,wallet,13,2024-09-14,429,active,2,2025-05-25,cancelled,799.89,129
c5286,other,adult,peshawar,2025-03-09,o9286,2023-08-30,kfc,fries,continental,4,1052.03,cash,44,2025-04-16,107,inactive,4,2025-03-12,delivered,4208.12,38
c3379,other,adult,peshawar,2023-12-19,o7379,2023-08-30,mcdonald's,burger,italian,3,519.94,card,30,2024-10-08,195,active,1,2025-02-08,delivered,1559.8200000000002,294
c4554,other,teenager,lahore,2024-06-20,o8554,2023-08-31,subway,sandwich,continental,5,575.25,card,8,2025-04-15,168,active,1,2025-05-06,cancelled,2876.25,299
c1557,female,teenager,peshawar,2024-01-11,o5557,2023-08-31,burger king,pizza,chinese,1,1071.22,cash,5,2025-06-15,56,inactive,5,2024-10-11,delivered,1071.22,521
c6686,female,senior,peshawar,2024-08-11,o10686,2023-08-31,kfc,burger,fast food,1,397.47,wallet,5,2025-04-12,180,active,1,2025-06-10,cancelled,397.47,244
c3239,female,senior,lahore,2023-09-13,o7239,2023-08-31,pizza hut,fries,chinese,5,1475.86,card,13,2025-07-13,59,active,4,2025-02-09,cancelled,7379.299999999999,669
c1207,other,teenager,peshawar,2023-09-23,o5207,2023-08-31,mcdonald's,pizza,italian,4,1143.99,wallet,26,2024-09-26,323,inactive,4,2025-03-24,delivered,4575.96,369
c6466,other,senior,islamabad,2024-02-14,o10466,2023-08-31,kfc,fries,chinese,1,1492.84,wallet,50,2025-03-28,423,active,1,2025-02-09,cancelled,1492.84,408
c2375,female,teenager,peshawar,2023-11-17,o6375,2023-09-01,mcdonald's,burger,continental,3,716.53,card,3,2025-02-20,432,inactive,1,2024-09-17,cancelled,2149.59,461
c5566,other,teenager,islamabad,2024-03-25,o9566,2023-09-01,subway,pasta,dessert,5,362.35,cash,23,2025-02-28,309,active,5,2025-01-03,delayed,1811.75,340
c3733,male,adult,multan,2024-12-18,o7733,2023-09-01,burger king,sandwich,continental,4,172.76,wallet,23,2025-05-18,356,inactive,5,2025-01-25,delivered,691.04,151
c4670,other,adult,peshawar,2024-08-23,o8670,2023-09-02,pizza hut,fries,italian,3,124.6,card,26,2025-05-06,297,inactive,2,2024-11-28,cancelled,373.79999999999995,256
c6071,female,senior,peshawar,2024-01-23,o10071,2023-09-02,pizza hut,pizza,continental,1,1465.02,card,45,2025-07-04,420,active,1,2025-02-20,delivered,1465.02,528
c5186,female,adult,peshawar,2023-10-27,o9186,2023-09-02,subway,pizza,continental,2,158.21,cash,8,2024-12-27,321,active,3,2025-02-12,delayed,316.42,427
c3464,other,adult,peshawar,2024-06-11,o7464,2023-09-02,pizza hut,pizza,continental,2,949.78,card,46,2025-04-14,435,active,1,2025-08-14,cancelled,1899.56,307
c5340,male,teenager,peshawar,2024-05-09,o9340,2023-09-02,mcdonald's,pasta,continental,1,1047.07,wallet,50,2025-01-29,328,inactive,2,2024-09-01,delayed,1047.07,265
c6843,other,senior,multan,2025-04-10,o10843,2023-09-02,kfc,pizza,italian,4,1014.28,card,41,2025-07-22,0,active,1,2025-01-23,delivered,4057.12,103
c5132,male,teenager,lahore,2024-09-13,o9132,2023-09-02,subway,burger,fast food,2,941.02,wallet,5,2025-07-18,468,active,1,2025-02-27,delivered,1882.04,308
c2398,other,senior,islamabad,2023-12-29,o6398,2023-09-03,subway,pasta,chinese,1,1187.79,cash,41,2025-07-05,22,inactive,2,2024-12-13,cancelled,1187.79,554
c5122,other,senior,multan,2025-03-30,o9122,2023-09-03,mcdonald's,pizza,chinese,3,1201.49,cash,37,2025-04-30,293,active,1,2024-11-30,delayed,3604.4700000000003,31
c6532,female,senior,islamabad,2024-03-15,o10532,2023-09-03,pizza hut,pizza,dessert,4,579.72,wallet,40,2025-07-14,170,inactive,3,2025-02-06,delayed,2318.88,486
c2040,male,senior,peshawar,2024-02-07,o6040,2023-09-03,burger king,pasta,fast food,4,1418.27,wallet,14,2025-05-18,291,inactive,3,2025-02-10,cancelled,5673.08,466
c2631,female,adult,lahore,2024-11-08,o6631,2023-09-03,subway,pasta,continental,2,1174.62,card,50,2025-02-11,64,active,5,2025-03-24,cancelled,2349.24,95
c3877,other,teenager,islamabad,2024-10-22,o7877,2023-09-03,kfc,fries,continental,4,213.52,cash,50,2025-01-22,24,active,3,2024-12-14,cancelled,854.08,92
c4158,male,senior,islamabad,2024-04-27,o8158,2023-09-04,kfc,fries,chinese,3,566.9,wallet,22,2025-03-27,387,active,3,2025-02-22,cancelled,1700.6999999999998,334
c3705,other,teenager,lahore,2024-05-15,o7705,2023-09-04,burger king,pasta,italian,3,881.71,wallet,16,2025-06-25,26,active,2,2024-11-20,cancelled,2645.13,406
c5223,other,adult,multan,2023-11-01,o9223,2023-09-04,subway,fries,chinese,3,1142.45,wallet,9,2024-09-08,397,inactive,1,2025-03-20,delayed,3427.3500000000004,312
c4636,female,teenager,lahore,2024-01-27,o8636,2023-09-04,subway,pasta,fast food,4,1303.08,wallet,19,2025-07-09,62,active,1,2025-04-08,delayed,5212.32,529
c3087,female,adult,peshawar,2025-05-05,o7087,2023-09-04,subway,pizza,italian,2,526.39,wallet,7,2025-06-22,83,inactive,1,2025-04-04,delayed,1052.78,48
c6268,male,teenager,islamabad,2024-02-11,o10268,2023-09-04,pizza hut,sandwich,fast food,3,897.81,cash,15,2025-08-14,193,active,5,2025-06-19,cancelled,2693.43,550
c1434,other,senior,multan,2024-03-16,o5434,2023-09-05,subway,burger,chinese,4,949.24,card,21,2025-06-15,264,active,2,2024-11-21,cancelled,3796.96,456
c3992,male,teenager,lahore,2024-07-21,o7992,2023-09-05,subway,fries,italian,5,904.16,card,10,2025-02-20,118,inactive,4,2025-02-03,delayed,4520.8,214
c4725,other,senior,islamabad,2023-12-10,o8725,2023-09-05,subway,pizza,continental,4,321.23,wallet,32,2025-03-17,145,inactive,2,2025-06-06,delivered,1284.92,463
c3703,other,teenager,multan,2024-10-30,o7703,2023-09-05,mcdonald's,fries,fast food,4,1071.49,card,39,2025-06-04,1,active,2,2025-02-15,delayed,4285.96,217
c1727,male,adult,multan,2023-08-26,o5727,2023-09-05,burger king,fries,dessert,3,465.28,wallet,4,2025-06-06,71,active,4,2025-06-15,delivered,1395.84,650
c5834,other,adult,multan,2023-10-06,o9834,2023-09-06,pizza hut,burger,dessert,4,395.88,card,37,2024-11-11,113,inactive,3,2025-04-16,delayed,1583.52,402
c1356,female,teenager,islamabad,2024-10-13,o5356,2023-09-06,burger king,sandwich,dessert,2,235.82,wallet,28,2025-08-16,452,inactive,1,2024-08-25,delayed,471.64,307
c6282,female,senior,lahore,2024-03-18,o10282,2023-09-06,kfc,sandwich,italian,5,626.86,card,47,2025-03-28,117,inactive,4,2025-03-21,delayed,3134.3,375
c2514,male,teenager,multan,2024-08-10,o6514,2023-09-07,burger king,burger,fast food,3,892.81,cash,25,2025-07-02,335,inactive,4,2025-02-20,cancelled,2678.43,326
c5399,other,teenager,lahore,2024-04-12,o9399,2023-09-07,burger king,burger,continental,4,1043.78,card,6,2025-04-15,114,active,2,2025-06-05,delayed,4175.12,368
c2832,other,teenager,peshawar,2024-07-03,o6832,2023-09-07,mcdonald's,pasta,italian,4,792.08,card,19,2024-09-21,296,inactive,4,2024-09-13,delivered,3168.32,80
c1577,male,senior,karachi,2024-08-19,o5577,2023-09-07,kfc,pizza,italian,1,820.53,card,18,2025-05-24,402,inactive,1,2025-08-21,delivered,820.53,278
c5722,male,teenager,multan,2025-06-26,o9722,2023-09-07,burger king,fries,continental,2,1215.67,wallet,8,2025-06-29,186,inactive,4,2024-12-27,delivered,2431.34,3
c3949,male,adult,peshawar,2024-10-18,o7949,2023-09-08,burger king,sandwich,chinese,2,212.59,cash,26,2025-06-26,302,active,1,2024-09-20,delivered,425.18,251
c1847,male,senior,lahore,2024-03-01,o5847,2023-09-08,subway,fries,continental,3,1097.28,card,20,2024-09-22,22,active,5,2024-11-30,delayed,3291.84,205
c6999,female,adult,multan,2024-05-16,o10999,2023-09-08,subway,sandwich,continental,2,1033.59,card,1,2025-01-16,255,active,1,2024-10-06,delayed,2067.18,245
c3717,female,senior,islamabad,2024-07-01,o7717,2023-09-09,burger king,burger,fast food,4,466.04,cash,27,2024-09-25,169,inactive,1,2025-04-10,cancelled,1864.16,86
c6796,other,teenager,lahore,2024-02-27,o10796,2023-09-09,kfc,burger,chinese,2,724.91,cash,18,2024-12-04,438,inactive,4,2025-03-23,cancelled,1449.82,281
c1799,male,adult,multan,2025-02-22,o5799,2023-09-09,burger king,burger,fast food,3,1128.96,card,12,2025-08-17,487,active,3,2025-05-13,cancelled,3386.88,176
c3815,male,teenager,karachi,2025-04-07,o7815,2023-09-09,pizza hut,fries,italian,5,122.84,cash,43,2025-05-24,104,active,5,2025-03-29,delivered,614.2,47
c5637,male,senior,lahore,2023-11-29,o9637,2023-09-09,subway,fries,continental,3,440.0,wallet,11,2024-12-23,497,active,3,2025-01-13,delivered,1320.0,390
c2045,male,adult,karachi,2024-06-22,o6045,2023-09-09,burger king,sandwich,chinese,2,1207.62,wallet,46,2025-02-22,91,active,2,2025-03-13,delivered,2415.24,245
c4628,female,adult,peshawar,2025-03-20,o8628,2023-09-09,mcdonald's,pizza,continental,3,1147.65,wallet,45,2025-04-15,353,active,4,2024-12-12,delivered,3442.9500000000003,26
c4407,other,adult,peshawar,2023-08-31,o8407,2023-09-09,pizza hut,sandwich,continental,5,1203.99,wallet,1,2025-04-17,106,inactive,4,2025-07-02,delayed,6019.95,595
c5061,female,teenager,karachi,2024-06-30,o9061,2023-09-09,mcdonald's,burger,chinese,2,1417.09,card,46,2025-01-01,355,active,3,2025-03-05,cancelled,2834.18,185
c4423,male,teenager,karachi,2024-06-21,o8423,2023-09-09,pizza hut,fries,italian,5,1010.15,cash,25,2025-03-08,461,active,3,2025-07-16,cancelled,5050.75,260
c2161,female,senior,karachi,2025-01-20,o6161,2023-09-10,kfc,pizza,fast food,1,394.08,card,1,2025-02-06,169,inactive,4,2024-12-14,delayed,394.08,17
c2167,male,senior,multan,2025-01-30,o6167,2023-09-10,mcdonald's,sandwich,italian,4,1460.35,card,9,2025-04-19,315,active,5,2025-01-25,cancelled,5841.4,79
c5088,other,senior,lahore,2023-09-25,o9088,2023-09-10,subway,pasta,fast food,5,1397.42,card,18,2024-08-27,36,active,2,2025-03-11,cancelled,6987.1,337
c3941,other,adult,lahore,2023-10-03,o7941,2023-09-10,burger king,sandwich,italian,3,257.86,wallet,47,2025-01-25,327,inactive,5,2025-07-27,cancelled,773.58,480
c2536,female,adult,karachi,2023-12-26,o6536,2023-09-10,mcdonald's,burger,fast food,3,882.75,wallet,16,2025-01-28,13,active,4,2024-10-08,delayed,2648.25,399
c3321,male,teenager,multan,2024-05-10,o7321,2023-09-10,burger king,pasta,dessert,5,689.01,card,3,2025-03-08,189,inactive,3,2024-12-20,cancelled,3445.05,302
c1075,male,adult,lahore,2023-09-24,o5075,2023-09-10,subway,pasta,continental,2,1452.79,cash,30,2024-10-06,382,active,4,2025-04-12,cancelled,2905.58,378
c5413,other,teenager,islamabad,2024-11-16,o9413,2023-09-10,subway,pasta,chinese,3,460.45,card,40,2024-11-23,4,active,4,2025-05-03,cancelled,1381.35,7
c6438,male,senior,lahore,2025-01-26,o10438,2023-09-10,burger king,pasta,continental,3,648.85,card,36,2025-08-19,289,inactive,5,2025-07-07,delivered,1946.5500000000002,205
c6145,male,senior,multan,2023-09-30,o10145,2023-09-10,subway,fries,continental,1,512.77,cash,18,2025-01-01,434,inactive,1,2025-01-14,cancelled,512.77,459
c6266,other,senior,karachi,2024-07-16,o10266,2023-09-11,pizza hut,burger,dessert,3,465.95,card,38,2024-10-26,275,inactive,4,2024-10-13,cancelled,1397.85,102
c6753,other,teenager,multan,2024-08-24,o10753,2023-09-11,kfc,sandwich,dessert,5,172.45,cash,6,2025-01-07,338,active,5,2025-03-13,cancelled,862.25,136
c1279,female,teenager,karachi,2025-03-14,o5279,2023-09-11,kfc,sandwich,dessert,4,167.37,cash,24,2025-03-14,442,inactive,3,2025-05-03,delayed,669.48,0
c2458,female,adult,islamabad,2024-02-11,o6458,2023-09-11,burger king,fries,fast food,3,1442.35,wallet,13,2025-03-07,188,inactive,1,2025-05-06,delayed,4327.049999999999,390
c5113,female,adult,peshawar,2025-02-21,o9113,2023-09-11,burger king,pizza,fast food,5,1381.09,wallet,23,2025-04-14,193,inactive,1,2025-07-10,delivered,6905.45,52
c1800,female,adult,multan,2024-10-31,o5800,2023-09-11,kfc,burger,chinese,4,412.61,cash,47,2025-06-19,392,active,2,2024-10-02,delayed,1650.44,231
c3333,other,teenager,lahore,2023-12-25,o7333,2023-09-11,mcdonald's,burger,dessert,5,819.6,cash,47,2024-11-20,317,inactive,3,2025-02-27,delivered,4098.0,331
c2280,male,teenager,karachi,2024-10-05,o6280,2023-09-11,mcdonald's,burger,chinese,1,739.3,cash,14,2024-10-29,481,inactive,2,2024-11-29,cancelled,739.3,24
c5166,female,teenager,karachi,2024-06-29,o9166,2023-09-11,mcdonald's,pasta,chinese,3,898.92,cash,27,2024-12-31,169,active,3,2024-11-29,delivered,2696.7599999999998,185
c3672,male,adult,karachi,2023-11-22,o7672,2023-09-12,mcdonald's,sandwich,italian,1,1394.3,cash,16,2025-07-06,288,inactive,5,2025-03-23,cancelled,1394.3,592
c4592,other,senior,peshawar,2023-08-24,o8592,2023-09-12,kfc,sandwich,italian,1,1064.71,card,12,2025-08-13,41,active,4,2024-12-26,delivered,1064.71,720
c5410,male,senior,multan,2024-01-13,o9410,2023-09-12,burger king,sandwich,continental,2,1217.64,cash,27,2025-03-01,115,active,4,2025-05-29,delayed,2435.28,413
c1176,other,adult,lahore,2025-04-19,o5176,2023-09-12,pizza hut,sandwich,dessert,2,746.63,card,47,2025-08-15,162,active,5,2025-06-13,delivered,1493.26,118
c2453,other,senior,peshawar,2024-11-20,o6453,2023-09-12,burger king,pizza,continental,3,889.41,cash,24,2025-07-24,101,active,5,2025-06-25,cancelled,2668.23,246
c6181,other,adult,karachi,2024-04-05,o10181,2023-09-12,subway,fries,chinese,5,752.8,card,33,2025-04-19,76,inactive,4,2024-08-30,delivered,3764.0,379
c5067,male,senior,multan,2024-08-10,o9067,2023-09-12,pizza hut,burger,fast food,1,582.15,cash,13,2024-12-25,492,active,5,2024-11-01,delayed,582.15,137
c1918,male,teenager,multan,2023-11-29,o5918,2023-09-12,pizza hut,pasta,continental,5,1367.65,wallet,7,2025-03-05,297,inactive,4,2025-07-21,delivered,6838.25,462
c3778,female,teenager,lahore,2024-01-12,o7778,2023-09-13,subway,sandwich,chinese,4,802.86,wallet,44,2024-09-24,97,active,4,2025-05-21,delayed,3211.44,256
c5964,male,senior,karachi,2025-02-03,o9964,2023-09-13,subway,pasta,italian,3,1382.02,wallet,6,2025-03-05,26,inactive,1,2025-06-06,cancelled,4146.0599999999995,30
c5102,male,adult,multan,2024-03-01,o9102,2023-09-13,burger king,pizza,chinese,3,1275.91,card,33,2024-08-30,368,active,4,2024-11-14,delayed,3827.7300000000005,182
c5371,other,adult,karachi,2024-02-25,o9371,2023-09-13,mcdonald's,fries,fast food,2,899.49,card,29,2025-01-04,209,active,3,2024-12-20,delayed,1798.98,314
c6700,male,adult,islamabad,2024-03-21,o10700,2023-09-13,mcdonald's,fries,dessert,4,483.89,cash,11,2024-10-08,493,active,2,2024-10-31,delayed,1935.56,201
c6335,other,senior,lahore,2023-09-21,o10335,2023-09-13,subway,burger,continental,1,390.24,cash,49,2025-02-15,180,inactive,1,2024-10-12,delayed,390.24,513
c3605,female,adult,lahore,2024-03-08,o7605,2023-09-13,subway,fries,italian,5,1070.43,wallet,20,2025-08-09,248,active,4,2024-09-01,delayed,5352.150000000001,519
c2306,other,senior,multan,2024-04-10,o6306,2023-09-14,mcdonald's,fries,fast food,4,1264.25,cash,26,2024-08-22,337,inactive,1,2024-12-30,cancelled,5057.0,134
c4819,female,teenager,islamabad,2025-02-04,o8819,2023-09-14,pizza hut,pizza,chinese,3,1317.92,card,19,2025-04-27,60,active,3,2024-10-29,delayed,3953.76,82
c2556,female,senior,islamabad,2024-06-26,o6556,2023-09-14,pizza hut,pasta,italian,1,1352.98,wallet,42,2025-01-29,494,active,3,2025-07-09,delivered,1352.98,217
c4282,female,senior,lahore,2024-08-21,o8282,2023-09-14,subway,pasta,fast food,4,1125.3,cash,1,2025-02-10,10,inactive,2,2025-04-25,cancelled,4501.2,173
c5563,male,teenager,karachi,2024-07-04,o9563,2023-09-14,subway,burger,fast food,2,502.9,wallet,32,2025-04-03,189,inactive,2,2025-05-05,delivered,1005.8,273
c6797,other,senior,peshawar,2023-09-21,o10797,2023-09-14,subway,pizza,italian,3,1262.54,card,39,2024-10-24,114,active,1,2025-04-27,cancelled,3787.62,399
c3507,male,senior,islamabad,2023-10-12,o7507,2023-09-14,subway,pasta,fast food,3,1023.64,wallet,24,2025-07-17,443,active,5,2025-02-11,delayed,3070.92,644
c1366,other,senior,multan,2024-10-26,o5366,2023-09-15,subway,burger,chinese,5,532.27,cash,4,2025-05-30,9,active,1,2025-08-03,cancelled,2661.35,216
c4309,male,teenager,lahore,2025-06-28,o8309,2023-09-15,pizza hut,fries,italian,4,1072.07,card,24,2025-08-18,429,active,4,2024-10-04,delivered,4288.28,51
c2848,male,teenager,lahore,2024-10-13,o6848,2023-09-15,mcdonald's,pizza,dessert,1,1419.33,cash,48,2025-08-11,155,active,5,2025-06-27,delayed,1419.33,302
c3174,other,senior,multan,2024-02-28,o7174,2023-09-15,mcdonald's,burger,fast food,3,1016.5,card,23,2025-06-13,235,inactive,3,2025-01-28,delayed,3049.5,471
c6840,other,senior,multan,2024-05-27,o10840,2023-09-15,subway,burger,chinese,2,489.76,wallet,26,2024-09-19,120,active,5,2025-04-25,cancelled,979.52,115
c1702,female,senior,multan,2024-06-24,o5702,2023-09-16,pizza hut,sandwich,chinese,1,1266.44,wallet,3,2024-08-27,437,inactive,5,2025-03-10,delayed,1266.44,64
c4472,male,adult,multan,2024-08-23,o8472,2023-09-16,subway,burger,italian,4,1161.7,wallet,21,2024-10-11,177,active,5,2025-04-17,delivered,4646.8,49
c2711,other,adult,islamabad,2023-08-26,o6711,2023-09-16,subway,burger,continental,2,647.62,wallet,16,2024-10-17,375,inactive,5,2025-03-22,delayed,1295.24,418
c4540,male,senior,multan,2024-04-22,o8540,2023-09-16,kfc,sandwich,dessert,2,179.31,card,17,2024-11-10,210,active,5,2025-01-17,delayed,358.62,202
c4401,male,adult,karachi,2024-09-28,o8401,2023-09-16,kfc,burger,italian,3,923.55,cash,18,2025-05-15,275,inactive,2,2024-08-26,cancelled,2770.6499999999996,229
